update,env_steps,train_return_mean,train_return_std,policy_loss,entropy,entropy_beta,value_loss,baseline_value,eval_return_mean,eval_return_std,experiment,seed,steps_to_475,steps_to_495
24,6276,20.2,7.011419257183241,-0.0009397669346071,0.6764585375785828,0.0,0.0,,,,vpg,0,58202.0,58202.0
25,6569,29.3,25.420660888340414,-0.013497419655323,0.6778680086135864,0.0,0.0,,74.8,27.24261367783936,vpg,0,58202.0,58202.0
26,6875,30.6,27.626798583983636,-0.03395601734519,0.6771985292434692,0.0,0.0,,,,vpg,0,58202.0,58202.0
27,7179,30.4,15.007997867803686,-0.0108538074418902,0.6784496307373047,0.0,0.0,,,,vpg,0,58202.0,58202.0
28,7579,40.0,20.69782597279241,-0.0130884097889065,0.6791883707046509,0.0,0.0,,,,vpg,0,58202.0,58202.0
29,7897,31.8,13.13620949893842,-0.0057463399134576,0.675857424736023,0.0,0.0,,,,vpg,0,58202.0,58202.0
30,8224,32.7,15.646405337968208,-0.0222428049892187,0.6757596135139465,0.0,0.0,,113.2,92.508161802081,vpg,0,58202.0,58202.0
31,8525,30.1,17.529689101635544,-0.0374325178563594,0.6682525277137756,0.0,0.0,,,,vpg,0,58202.0,58202.0
32,8885,36.0,14.366627996854376,-0.0117474319413304,0.671965479850769,0.0,0.0,,,,vpg,0,58202.0,58202.0
33,9320,43.5,22.773888556853876,-0.0156859084963798,0.6724637150764465,0.0,0.0,,,,vpg,0,58202.0,58202.0
34,9646,32.6,15.428544973522293,-0.0255600251257419,0.6706794500350952,0.0,0.0,,,,vpg,0,58202.0,58202.0
35,9987,34.1,17.346181135915767,-0.0103139979764819,0.6669420003890991,0.0,0.0,,70.6,14.101063789657855,vpg,0,58202.0,58202.0
36,10370,38.3,17.47598352024858,-0.0145410243421792,0.6715613603591919,0.0,0.0,,,,vpg,0,58202.0,58202.0
37,10712,34.2,16.12327510154187,0.0040054013952612,0.6674585342407227,0.0,0.0,,,,vpg,0,58202.0,58202.0
38,10974,26.2,11.08873302050329,-0.0204417463392019,0.6613374948501587,0.0,0.0,,,,vpg,0,58202.0,58202.0
39,11349,37.5,24.992999019725502,-0.0109607120975852,0.6691024899482727,0.0,0.0,,,,vpg,0,58202.0,58202.0
40,11683,33.4,22.091627373283306,-0.0127287935465574,0.6560646891593933,0.0,0.0,,69.1,17.558188972670273,vpg,0,58202.0,58202.0
41,11985,30.2,22.008180297334896,-0.0112986182793974,0.65478515625,0.0,0.0,,,,vpg,0,58202.0,58202.0
42,12511,52.6,19.865548066942427,-0.0047293463721871,0.6673445701599121,0.0,0.0,,,,vpg,0,58202.0,58202.0
43,12954,44.3,18.42308334671479,-0.0040559684857726,0.6623142957687378,0.0,0.0,,,,vpg,0,58202.0,58202.0
44,13321,36.7,9.829038610159184,-0.0411314591765403,0.6587738990783691,0.0,0.0,,,,vpg,0,58202.0,58202.0
45,13782,46.1,31.50063491423625,-0.007227259222418,0.6609302163124084,0.0,0.0,,85.5,24.42232585156459,vpg,0,58202.0,58202.0
46,14232,45.0,22.297981971469973,-0.0132439881563186,0.664641261100769,0.0,0.0,,,,vpg,0,58202.0,58202.0
47,14703,47.1,29.07731074222649,-0.0083148991689085,0.660434901714325,0.0,0.0,,,,vpg,0,58202.0,58202.0
48,15090,38.7,21.61504105941046,-0.0084020495414733,0.6557231545448303,0.0,0.0,,,,vpg,0,58202.0,58202.0
